Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
MondayNight,9/2/2012,M,0,M,0,0
MondayNight,9/9/2012,M,M,0,M,0
MondayNight,9/16/2012,M,0,M,0,0
MondayNight,9/23/2012,M,M,0,M,0
MondayNight,9/30/2012,M,0,M,0,0
MondayNight,10/7/2012,M,M,0,M,0
MondayNight,10/14/2012,M,0,M,0,0
MondayNight,10/21/2012,M,M,0,M,0
MondayNight,10/28/2012,M,0,M,0,0
MondayNight,11/4/2012,M,M,0,M,0
MondayNight,11/11/2012,M,0,M,0,0
MondayNight,11/18/2012,M,M,0,M,0
MondayNight,11/25/2012,M,0,M,0,0
MondayNight,12/2/2012,M,M,0,M,0
MondayNight,12/9/2012,M,0,M,0,0
MondayNight,12/16/2012,M,M,0,M,0
MondayNight,12/23/2012,T,0,T,0,0
MondayNight,12/30/2012,T,T,0,0,T
MondayNight,1/6/2013,M,0,M,0,0
MondayNight,1/13/2013,M,M,0,0,M
MondayNight,1/20/2013,M,0,M,0,0
MondayNight,1/27/2013,M,M,0,0,0
MondayNight,2/3/2013,M,0,M,0,0
MondayNight,2/10/2013,M,M,0,0,0
MondayNight,2/17/2013,M,0,M,0,0
MondayNight,2/24/2013,M,M,0,0,0
MondayNight,3/3/2013,M,0,M,0,0
MondayNight,3/10/2013,M,M,0,M,0
MondayNight,3/17/2013,M,0,M,0,0
MondayNight,3/24/2013,M,M,0,M,0
MondayNight,3/31/2013,M,0,M,0,0
MondayNight,4/7/2013,M,M,0,M,0
MondayNight,4/14/2013,M,0,M,0,0
MondayNight,4/21/2013,M,M,0,M,0
MondayNight,4/28/2013,M,0,M,0,0
MondayNight,5/5/2013,M,M,0,M,0
MondayNight,5/12/2013,M,0,M,0,0
MondayNight,5/19/2013,M,M,0,M,0
MondayNight,5/26/2013,M,0,M,0,0
MondayNight,6/2/2013,M,M,0,M,0
MondayNight,6/9/2013,M,0,M,0,0
MondayNight,6/16/2013,M,M,0,M,0
MondayNight,6/23/2013,M,0,M,0,0
MondayNight,6/30/2013,M,M,0,M,0
MondayNight,7/7/2013,M,0,M,0,0
MondayNight,7/14/2013,M,M,0,M,0
MondayNight,7/21/2013,M,0,M,0,0
MondayNight,7/28/2013,M,M,0,M,0
MondayNight,8/4/2013,M,0,M,0,0
MondayNight,8/11/2013,M,M,0,M,0
MondayNight,8/18/2013,M,0,M,0,0
MondayNight,8/25/2013,M,M,0,M,0
Tuesday1,9/2/2012,T,0,T,0,0
Tuesday1,9/9/2012,T,T,0,T,0
Tuesday1,9/16/2012,T,0,T,0,0
Tuesday1,9/23/2012,T,T,0,T,0
Tuesday1,9/30/2012,T,0,T,0,0
Tuesday1,10/7/2012,T,T,0,T,0
Tuesday1,10/14/2012,T,0,T,0,0
Tuesday1,10/21/2012,T,T,0,T,0
Tuesday1,10/28/2012,T,0,T,0,0
Tuesday1,11/4/2012,T,T,0,T,0
Tuesday1,11/11/2012,T,0,T,0,0
Tuesday1,11/18/2012,T,T,0,T,0
Tuesday1,11/25/2012,T,0,T,0,0
Tuesday1,12/2/2012,T,T,0,T,0
Tuesday1,12/9/2012,T,0,T,0,0
Tuesday1,12/16/2012,T,T,0,T,0
Tuesday1,12/23/2012,W,0,W,0,0
Tuesday1,12/30/2012,W,W,0,0,W
Tuesday1,1/6/2013,T,0,T,0,0
Tuesday1,1/13/2013,T,T,0,0,T
Tuesday1,1/20/2013,T,0,T,0,0
Tuesday1,1/27/2013,T,T,0,0,0
Tuesday1,2/3/2013,T,0,T,0,0
Tuesday1,2/10/2013,T,T,0,0,0
Tuesday1,2/17/2013,T,0,T,0,0
Tuesday1,2/24/2013,T,T,0,0,0
Tuesday1,3/3/2013,T,0,T,0,0
Tuesday1,3/10/2013,T,T,0,T,0
Tuesday1,3/17/2013,T,0,T,0,0
Tuesday1,3/24/2013,T,T,0,T,0
Tuesday1,3/31/2013,T,0,T,0,0
Tuesday1,4/7/2013,T,T,0,T,0
Tuesday1,4/14/2013,T,0,T,0,0
Tuesday1,4/21/2013,T,T,0,T,0
Tuesday1,4/28/2013,T,0,T,0,0
Tuesday1,5/5/2013,T,T,0,T,0
Tuesday1,5/12/2013,T,0,T,0,0
Tuesday1,5/19/2013,T,T,0,T,0
Tuesday1,5/26/2013,T,0,T,0,0
Tuesday1,6/2/2013,T,T,0,T,0
Tuesday1,6/9/2013,T,0,T,0,0
Tuesday1,6/16/2013,T,T,0,T,0
Tuesday1,6/23/2013,T,0,T,0,0
Tuesday1,6/30/2013,T,T,0,T,0
Tuesday1,7/7/2013,T,0,T,0,0
Tuesday1,7/14/2013,T,T,0,T,0
Tuesday1,7/21/2013,T,0,T,0,0
Tuesday1,7/28/2013,T,T,0,T,0
Tuesday1,8/4/2013,T,0,T,0,0
Tuesday1,8/11/2013,T,T,0,T,0
Tuesday1,8/18/2013,T,0,T,0,0
Tuesday1,8/25/2013,T,T,0,T,0
Tuesday2,9/2/2012,T,T,0,T,0
Tuesday2,9/9/2012,T,0,T,0,0
Tuesday2,9/16/2012,T,T,0,T,0
Tuesday2,9/23/2012,T,0,T,0,0
Tuesday2,9/30/2012,T,T,0,T,0
Tuesday2,10/7/2012,T,0,T,0,0
Tuesday2,10/14/2012,T,T,0,T,0
Tuesday2,10/21/2012,T,0,T,0,0
Tuesday2,10/28/2012,T,T,0,T,0
Tuesday2,11/4/2012,T,0,T,0,0
Tuesday2,11/11/2012,T,T,0,T,0
Tuesday2,11/18/2012,T,0,T,0,0
Tuesday2,11/25/2012,T,T,0,T,0
Tuesday2,12/2/2012,T,0,T,0,0
Tuesday2,12/9/2012,T,T,0,T,0
Tuesday2,12/16/2012,T,0,T,0,0
Tuesday2,12/23/2012,W,W,0,0,0
Tuesday2,12/30/2012,W,0,W,0,0
Tuesday2,1/6/2013,T,T,0,0,T
Tuesday2,1/13/2013,T,0,T,0,0
Tuesday2,1/20/2013,T,T,0,0,T
Tuesday2,1/27/2013,T,0,T,0,0
Tuesday2,2/3/2013,T,T,0,0,0
Tuesday2,2/10/2013,T,0,T,0,0
Tuesday2,2/17/2013,T,T,0,0,0
Tuesday2,2/24/2013,T,0,T,0,0
Tuesday2,3/3/2013,T,T,0,0,0
Tuesday2,3/10/2013,T,0,T,0,0
Tuesday2,3/17/2013,T,T,0,T,0
Tuesday2,3/24/2013,T,0,T,0,0
Tuesday2,3/31/2013,T,T,0,T,0
Tuesday2,4/7/2013,T,0,T,0,0
Tuesday2,4/14/2013,T,T,0,T,0
Tuesday2,4/21/2013,T,0,T,0,0
Tuesday2,4/28/2013,T,T,0,T,0
Tuesday2,5/5/2013,T,0,T,0,0
Tuesday2,5/12/2013,T,T,0,T,0
Tuesday2,5/19/2013,T,0,T,0,0
Tuesday2,5/26/2013,T,T,0,T,0
Tuesday2,6/2/2013,T,0,T,0,0
Tuesday2,6/9/2013,T,T,0,T,0
Tuesday2,6/16/2013,T,0,T,0,0
Tuesday2,6/23/2013,T,T,0,T,0
Tuesday2,6/30/2013,T,0,T,0,0
Tuesday2,7/7/2013,T,T,0,T,0
Tuesday2,7/14/2013,T,0,T,0,0
Tuesday2,7/21/2013,T,T,0,T,0
Tuesday2,7/28/2013,T,0,T,0,0
Tuesday2,8/4/2013,T,T,0,T,0
Tuesday2,8/11/2013,T,0,T,0,0
Tuesday2,8/18/2013,T,T,0,T,0
Tuesday2,8/25/2013,T,0,T,0,0
Wednesday1,9/2/2012,W,0,W,0,0
Wednesday1,9/9/2012,W,W,0,W,0
Wednesday1,9/16/2012,W,0,W,0,0
Wednesday1,9/23/2012,W,W,0,W,0
Wednesday1,9/30/2012,W,0,W,0,0
Wednesday1,10/7/2012,W,W,0,W,0
Wednesday1,10/14/2012,W,0,W,0,0
Wednesday1,10/21/2012,W,W,0,W,0
Wednesday1,10/28/2012,W,0,W,0,0
Wednesday1,11/4/2012,W,W,0,W,0
Wednesday1,11/11/2012,W,0,W,0,0
Wednesday1,11/18/2012,W,W,0,W,0
Wednesday1,11/25/2012,W,0,W,0,0
Wednesday1,12/2/2012,W,W,0,W,0
Wednesday1,12/9/2012,W,0,W,0,0
Wednesday1,12/16/2012,W,W,0,W,0
Wednesday1,12/23/2012,R,0,R,0,0
Wednesday1,12/30/2012,R,R,0,0,R
Wednesday1,1/6/2013,W,0,W,0,0
Wednesday1,1/13/2013,W,W,0,0,W
Wednesday1,1/20/2013,W,0,W,0,0
Wednesday1,1/27/2013,W,W,0,0,0
Wednesday1,2/3/2013,W,0,W,0,0
Wednesday1,2/10/2013,W,W,0,0,0
Wednesday1,2/17/2013,W,0,W,0,0
Wednesday1,2/24/2013,W,W,0,0,0
Wednesday1,3/3/2013,W,0,W,0,0
Wednesday1,3/10/2013,W,W,0,W,0
Wednesday1,3/17/2013,W,0,W,0,0
Wednesday1,3/24/2013,W,W,0,W,0
Wednesday1,3/31/2013,W,0,W,0,0
Wednesday1,4/7/2013,W,W,0,W,0
Wednesday1,4/14/2013,W,0,W,0,0
Wednesday1,4/21/2013,W,W,0,W,0
Wednesday1,4/28/2013,W,0,W,0,0
Wednesday1,5/5/2013,W,W,0,W,0
Wednesday1,5/12/2013,W,0,W,0,0
Wednesday1,5/19/2013,W,W,0,W,0
Wednesday1,5/26/2013,W,0,W,0,0
Wednesday1,6/2/2013,W,W,0,W,0
Wednesday1,6/9/2013,W,0,W,0,0
Wednesday1,6/16/2013,W,W,0,W,0
Wednesday1,6/23/2013,W,0,W,0,0
Wednesday1,6/30/2013,W,W,0,W,0
Wednesday1,7/7/2013,W,0,W,0,0
Wednesday1,7/14/2013,W,W,0,W,0
Wednesday1,7/21/2013,W,0,W,0,0
Wednesday1,7/28/2013,W,W,0,W,0
Wednesday1,8/4/2013,W,0,W,0,0
Wednesday1,8/11/2013,W,W,0,W,0
Wednesday1,8/18/2013,W,0,W,0,0
Wednesday1,8/25/2013,W,W,0,W,0
Wednesday2,9/2/2012,W,W,0,W,0
Wednesday2,9/9/2012,W,0,W,0,0
Wednesday2,9/16/2012,W,W,0,W,0
Wednesday2,9/23/2012,W,0,W,0,0
Wednesday2,9/30/2012,W,W,0,W,0
Wednesday2,10/7/2012,W,0,W,0,0
Wednesday2,10/14/2012,W,W,0,W,0
Wednesday2,10/21/2012,W,0,W,0,0
Wednesday2,10/28/2012,W,W,0,W,0
